$IMPOS,1000,5,4,4,1,1,17,0,0,
$NEW SESSION
$DATE,010608,
$GPS,1350,A,03830.1415,S,14513.9298,E,0.09,034316.100,52.2
$GPS,1360,A,03830.1415,S,14513.9298,E,0.04,034316.200,52.2
$GPS,1370,A,03830.1415,S,14513.9298,E,0.04,034316.300,52.2
$GPS,1380,A,03830.1415,S,14513.9298,E,0.05,034316.400,52.2
$GPS,1390,A,03830.1415,S,14513.9298,E,0.03,034316.500,52.2
$GPS,1400,A,03830.1415,S,14513.9298,E,0.03,034316.600,52.2
$GPS,1410,A,03830.1415,S,14513.9298,E,0.04,034316.700,52.2
$GPS,1420,A,03830.1415,S,14513.9298,E,0.05,034316.800,52.2
$GPS,1430,A,03830.1415,S,14513.9298,E,0.04,034316.900,52.2
$GPS,1440,A,03830.1415,S,14513.9298,E,0.04,034317.000,52.2
$GPS,1450,A,03830.1415,S,14513.9298,E,0.02,034317.100,52.2
$GPS,1460,A,03830.1415,S,14513.9298,E,0.02,034317.200,52.2
$GPS,1470,A,03830.1415,S,14513.9298,E,0.02,034317.300,52.2
$GPS,1480,A,03830.1415,S,14513.9298,E,0.01,034317.400,52.2
$GPS,1490,A,03830.1415,S,14513.9298,E,0.01,034317.500,52.2
$GPS,1500,A,03830.1415,S,14513.9298,E,0.01,034317.600,52.2
$GPS,1510,A,03830.1415,S,14513.9298,E,0.01,034317.700,52.2
$GPS,1520,A,03830.1415,S,14513.9298,E,0.01,034317.800,52.2
$GPS,1530,A,03830.1415,S,14513.9298,E,0.02,034317.900,52.2
$GPS,1540,A,03830.1415,S,14513.9298,E,0.03,034318.000,52.2
$GPS,1550,A,03830.1415,S,14513.9298,E,0.03,034318.100,52.2
$GPS,1560,A,03830.1415,S,14513.9298,E,0.03,034318.200,52.2
$GPS,1570,A,03830.1415,S,14513.9298,E,0.02,034318.300,52.2
$GPS,1580,A,03830.1415,S,14513.9298,E,0.01,034318.400,52.2
$GPS,1590,A,03830.1415,S,14513.9298,E,0.01,034318.500,52.2
$GPS,1600,A,03830.1415,S,14513.9299,E,0.01,034318.600,52.2
$GPS,1610,A,03830.1415,S,14513.9299,E,0.01,034318.700,52.2
$GPS,1620,A,03830.1415,S,14513.9299,E,0.01,034318.800,52.2
$GPS,1630,A,03830.1415,S,14513.9299,E,0.01,034318.900,52.3
$GPS,1640,A,03830.1415,S,14513.9299,E,0.01,034319.000,52.3
$GPS,1650,A,03830.1415,S,14513.9299,E,0.01,034319.100,52.3
$GPS,1660,A,03830.1415,S,14513.9299,E,0.02,034319.200,52.3
$GPS,1670,A,03830.1415,S,14513.9299,E,0.02,034319.300,52.3
$GPS,1680,A,03830.1415,S,14513.9299,E,0.03,034319.400,52.3
$GPS,1690,A,03830.1415,S,14513.9299,E,0.03,034319.500,52.3
$GPS,1700,A,03830.1415,S,14513.9299,E,0.02,034319.600,52.3
